ref_date,total_arrivals,is_estimate
2025-07,1562588,False
2025-08,1684972,False
2025-09,1523388,False
2025-10,1732942,False
2025-11,1978174,False
2025-12,2021619,False
2026-01,2453724,True
2026-02,2228372,False
2026-03,2080079,False
2026-04,2031519,False
2026-05,1779875,False
2026-06,1678281,False
