name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Musée Sarret de Grozon				Arbois							
Musée de la Boissellerie				Bois-d'Amont							
Musée d'archéologie				Champagnole							
Museum of Fine Arts, Dole				Dole							
Musée d'Archéologie				Lons-le-Saunier							
Musée des Beaux-Arts				Lons-le-Saunier							
Musée du Jouet				Moirans-en-Montagne							
Musée de la lunette				Morez							
Musée des Beaux-Arts				Saint-Claude							
Musée des Salines				Salins-les-Bains							
Musées des Techniques et Cultures Comtoises				Salins-les-Bains							
Musée du Costume				Château-Chinon							
Musée du Septennat				Château-Chinon							
Musée Romain Rolland				Clamecy							
Musée de la marine de Loire				Cosne-sur-Loire							
Musée municipal Frédéric Blandin				Nevers							
Musée archéologique du Nivernais				Nevers							
Musée Départemental Albert Demard				Champlitte							
Écomusée du Pays de la Cerise				Fougerolles							
Musée Baron Martin				Gray							
Musée Départemental de la Montagne Albert Demard				Haut-du-Them-Château-Lambert							
Musée de la Tour des Échevins				Luxeuil-les-Bains							
Musée du Combattant de la haute Saône				Luxeuil-les-Bains							
Musée de la Mine de Ronchamp				Ronchamp							
Musée Georges Garret				Vesoul							
Musée Rolin				Autun							
Musée Lapidaire Saint-Nicolas				Autun							
Musée Verger-Tarin				Autun							
Cathédrale (salle capitulaire)				Autun							
Musée Saint-Nazaire				Bourbon-Lancy							
Musée Nicéphore Niépce				Chalon-sur-Saône							
Musée Vivant Denon				Chalon-sur-Saône							
Musée du Prieuré				Charolles							
Musée René Davoine				Charolles							
musée Ochier				Cluny							
Galerie européenne de la forêt et du bois				Dompierre-les-Ormes							
Ecomusée de la Communauté Le Creusot Montceau				Le Creusot							
Musée de l'homme et de l'industrie				Le Creusot							
Musée des Ursulines				Mâcon							
Musée Lamartine				Mâcon							
Musée de la Tour et du Moulin				Marcigny							
Musée eucharistique du Hiéron				Paray-le-Monial							
Ecomusée de la Bresse Bourguignonne				Pierre-de-Bresse							
Musée Saint-Germain				Auxerre							
Muséum d’histoire naturelle				Auxerre							
Musée Leblanc-Duvernoy				Auxerre							
Musée de l’Avallonnais				Avallon							
Naïve art museum of Noyers				Noyers-sur-Serein							
Archaeological museum of Saint-Père-sous-Vézelay				Saint-Père-sous-Vézelay							
Musée de Sens				Sens							
Zervos Museum				Vézelay							
Musée Frédéric Japy				Beaucourt							
Musée d'Art et d'Histoire				Belfort							
Collection d'Art Moderne «Maurice Jardot»				Belfort							
Forge-Musée d'Etueffont				Étueffont							
Musée d'Art et d'Histoire				Saint-Brieuc							
Musée du château				Dinan							
Musée du Rail				Dinan							
Musée Mathurin-Méheut				Lamballe							
Musée de la Briqueterie				Langueux							
Musée 39-45				Léhon							
Musée de cire				Perros-Guirec							
Cité des télécoms				Pleumeur-Bodou							
Musée de la Poterie											
Musée des Beaux-Arts de Brest				Brest							
Musée National de la marine de Brest				Brest							
Océanopolis				Brest							
Tour Tanguy				Brest							
Musée naval				Camaret-sur-Mer							
