name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
National Museum of Fine Arts	art_museum	Art Museum		Manila	Manila						
The Mind Museum	science_museum	Science Museum		Bonifacio Global City, Taguig	Bonifacio Global City, Taguig						
National Museum of Natural History	science_museum	Science Museum		Rizal Park, City of Manila	Rizal Park, City of Manila						
