name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Mystetskyi Arsenal	art_museum	Art Museum		Kyiv	Kyiv			24000	260000	2006	2006
Museum of Western and Oriental Art	art_museum	Art Museum		Kyiv	Kyiv						
Lviv National Art Gallery	art_museum	Art Museum		Lviv	Lviv						
Odesa Museum of Western and Eastern Art	art_museum	Art Museum		Odesa	Odesa						
New Energy	science_museum	Science Museum		Ivano-Frankivsk, Ukraine	Ivano-Frankivsk, Ukraine						
Kharkiv Institute of Physics and Technology	science_museum	Science Museum		Kharkiv	Kharkiv						
