name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Islamic Arts Museum Malaysia	art_museum	Art Museum		Kuala Lumpur	Kuala Lumpur						
National Visual Arts Gallery (Malaysia)	art_museum	Art Museum		Kuala Lumpur	Kuala Lumpur						
Petronas Gallery	art_museum	Art Museum		Kuala Lumpur	Kuala Lumpur						
The Green Connection	science_museum	Science Museum		Kota Kinabalu	Kota Kinabalu						
Petrosains	science_museum	Science Museum		Kuala Lumpur	Kuala Lumpur						
Pusat Sains Negara (National Science Centre)	science_museum	Science Museum		Kuala Lumpur	Kuala Lumpur						
