name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Baku Museum of Modern Art	art_museum	Art Museum		Baku	Baku						
National Art Museum of Azerbaijan	art_museum	Art Museum		Baku	Baku						
