name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Fine Art and Ceramic Museum	art_museum	Art Museum		Jakarta	Jakarta						
National Gallery of Indonesia	art_museum	Art Museum		Jakarta	Jakarta						
National Museum of Indonesia	art_museum	Art Museum		Jakarta	Jakarta						
Bandung Geological Museum	science_museum	Science Museum		Bandung	Bandung						
Puspa Iptek Sundial	science_museum	Science Museum		Bandung	Bandung						
Bogor Zoology Museum	science_museum	Science Museum		Bogor	Bogor						
Jakarta Planetarium and Observatory	science_museum	Science Museum		Taman Ismail Marzuki, Jakarta	Taman Ismail Marzuki, Jakarta						
Taman Pintar Yogyakarta	science_museum	Science Museum		Yogyakarta	Yogyakarta						
