name	category	kind	description	location_raw	city	lat	lng	gallery_space_m2	gallery_space_sqft	year_established	year_established_raw
Amos Rex	art_museum	Art Museum		Helsinki	Helsinki						
Ateneum Art Museum	art_museum	Art Museum		Helsinki	Helsinki						
Helsinki Art Museum	art_museum	Art Museum		Helsinki	Helsinki						
Museum of Contemporary Art Kiasma	art_museum	Art Museum		Helsinki	Helsinki						
Tietomaa	science_museum	Science Museum		Oulu	Oulu						
Arktikum	science_museum	Science Museum		Rovaniemi	Rovaniemi						
Heureka	science_museum	Science Museum		Vantaa	Vantaa						
