ref_date,occupancy_pct
2024-01,76.3
2024-02,83.5
2024-03,81.8
2024-04,69.8
2024-05,62.0
2024-06,64.4
2024-07,65.8
2024-08,57.4
2024-09,36.7
2024-10,42.5
2024-11,68.5
2024-12,69.0
