lat,lon
57.492500,22.847444
57.005722,23.972250
58.239972,24.482500
59.364139,24.035750
59.585778,25.699167
59.611639,25.977472
59.540833,28.084139
59.775306,28.751444
59.867083,30.001611
59.687000,28.223194
59.449972,24.575833
58.788694,23.639944
57.266000,24.408778
57.429972,21.590833
55.662500,21.149278
55.329139,20.995833
54.353667,19.366611
54.670389,17.049944
54.176250,13.386639
56.290833,10.835778
56.766667,8.287417
55.025833,8.432444
55.349556,-7.228361
54.435778,-8.472528
53.443278,-10.142556
57.028750,-5.736667
56.137056,-5.155028
54.916667,-3.317556
52.908722,-4.103333
51.486222,-2.781694
50.867444,-1.392528
49.496667,-1.845389
48.403861,-4.360528
47.436222,-2.451694
45.315806,-1.162111
43.416250,-2.645861
43.524972,-7.044583
42.397833,-8.858333
40.890833,-8.670444
42.955417,10.604167
39.360806,16.027083
45.632889,12.901694
44.141639,15.623694
42.490778,18.651222
39.447889,20.255750
38.413333,22.461194
36.857500,22.256250
38.953333,22.997111
45.828278,30.110389
46.449167,31.959583
44.787444,33.533722
45.921667,34.837889
46.242056,35.257444
47.107083,37.879972
46.409556,37.904972
45.099556,36.912528
44.727889,37.801667
44.289583,38.762444
41.163694,29.658333
43.333750,40.181639
42.845000,41.103750
42.546639,41.524611
43.087056,40.597444
43.977056,39.227472
44.779167,37.384611
45.253306,37.063722
46.635389,37.909972
45.802028,34.678278
45.444583,36.420833
53.244583,-4.015056
53.861667,-2.964167
57.138750,-5.585028
58.449528,-5.031722
57.688722,-2.141667
50.713306,1.570833
51.941611,4.022472
52.612750,5.842139
53.456250,8.136583
54.331583,8.579056
40.356667,122.195417
39.444528,121.270833
39.320000,125.454556
50.689139,140.452444
53.546639,142.519167
51.964167,141.680806
59.260833,145.839083
59.644556,150.315000
58.842889,151.689944
59.510361,154.548389
59.896250,154.323278
57.393306,156.985833
56.085833,155.734111
55.643361,155.617500
59.096222,163.210028
59.890806,164.124056
59.813750,166.256750
59.993333,170.150722
58.554972,159.220806
59.766667,161.132417
57.089917,23.258583
59.556250,24.831639
59.553722,26.604972
59.982889,29.181611
37.849111,-122.479639
34.411556,-119.687889
31.859222,-116.629000
27.718472,-113.921611
31.244639,-114.909000
29.345611,-112.412389
59.623306,5.789111
59.335833,6.245833
59.437917,10.658278
58.446667,11.585750
59.892472,23.167500
58.620833,23.520833
57.692889,22.321667
55.339972,21.269111
54.553806,20.088306
54.832083,17.948333
54.408722,12.683278
57.744583,10.556639
56.372500,8.115806
54.778278,8.300778
55.016667,-8.409222
53.886278,-9.615056
57.745361,-5.801750
56.345417,-5.543417
55.139167,-4.999194
53.380778,-2.982528
51.647528,-4.239194
50.218750,-5.500028
49.612917,-1.255000
48.572167,-4.655472
47.565389,-2.878361
45.406250,-0.892583
43.382056,-3.005889
43.757056,-7.721639
42.310778,-8.623000
40.147917,-8.866694
42.704167,10.989528
38.947056,16.174972
45.712917,13.704028
44.217472,15.157861
42.279556,18.879944
38.958306,20.811250
38.135417,22.498306
36.568306,22.943694
40.502889,22.861667
45.862056,30.222500
46.300417,31.776611
44.568333,33.441278
45.961639,34.495417
46.563306,36.247889
47.137889,38.311611
45.440389,36.795806
41.177056,29.084944
40.457056,27.258306
40.385389,26.695778
40.420417,27.950833
40.505417,28.850806
40.872917,29.232500
41.668750,32.227472
41.612861,36.117444
41.377000,41.404917
43.627056,39.690861
45.249556,36.874972
46.035778,38.148694
47.037083,39.106639
45.443333,35.847889
53.247056,-3.098333
56.471694,-5.159194
57.874556,-5.300056
58.462472,-3.055861
54.358306,-0.444194
51.407861,3.974806
52.958750,4.793306
53.373750,6.183278
53.726611,9.420778
40.678722,122.217444
39.388694,121.796611
38.764139,125.454583
38.582056,124.996694
52.205778,141.537472
53.520417,142.139972
54.302889,138.691583
59.419556,145.589972
59.752917,149.684972
59.095000,151.115750
59.386222,155.094944
57.798722,156.896611
57.087083,156.669917
55.078278,155.585806
54.149111,155.842444
59.289583,163.213278
59.965833,163.785778
59.847861,165.059972
57.939611,162.580056
58.199167,158.567528
57.807333,24.341194
59.508722,25.281583
46.580833,-124.023139
44.217472,-124.115472
41.703278,-124.142611
38.014833,-122.366694
34.025694,-118.757306
30.964167,-116.335444
27.728444,-114.987000
31.604889,-113.895750
27.757528,-110.613500
26.161611,-109.334889
48.983778,-67.036694
59.744944,5.932528
59.313722,6.538333
59.184111,10.955833
58.154139,11.842222
59.907889,22.943278
58.360833,23.742556
56.557444,20.995806
54.781583,19.964056
54.725389,18.416611
54.422056,12.851583
57.474972,9.790861
55.467083,8.305000
55.284139,-7.454250
54.282083,-9.788333
57.582500,-4.077556
56.784583,-5.961722
55.907083,-4.443417
54.150389,-2.968500
51.862944,-5.166722
50.531250,-4.868361
49.387056,0.098306
48.715917,-4.006667
47.596639,-2.937083
45.020417,-0.591722
43.471222,-3.476694
43.705389,-8.000000
42.039972,-8.886306
39.408722,-9.200889
42.020389,11.945861
40.607889,18.033306
45.541278,13.609889
43.751222,15.773361
41.953333,19.163694
38.912028,21.107528
38.024972,21.299611
37.382889,23.259111
44.495389,28.847472
46.143722,30.505861
46.130361,33.109972
44.382056,33.741667
46.208722,34.848278
46.753333,36.776278
46.877917,38.512500
40.140750,26.388611
38.720833,26.726250
38.471250,26.618306
38.565028,26.361250
38.412472,26.735417
38.829583,26.976639
40.502056,27.681611
40.658694,29.271611
41.432056,31.716667
41.622889,35.575833
41.036222,39.251639
44.456194,38.154194
45.330361,37.249167
46.641222,38.497444
45.322028,35.422500
53.350806,-2.970917
56.796667,-5.165889
58.314972,-5.145861
57.698750,-2.918417
50.112444,1.455806
51.519944,4.220750
52.442861,5.268278
53.608972,7.141333
54.317417,8.960806
39.429583,121.434111
39.085000,125.319611
38.024972,125.240417
37.810722,126.652833
54.367444,142.674167
53.173333,141.835833
56.828333,138.552528
59.377111,144.723361
59.499167,148.880806
59.132861,151.899944
59.184583,154.898278
57.909139,157.577472
56.805833,156.204139
53.678361,155.984139
52.532083,156.413306
58.932472,162.857583
59.618333,163.414111
59.484139,163.120806
57.739167,162.439139
58.915806,159.762444
59.444556,27.428306
59.989528,30.106694
46.474139,-123.942972
44.580833,-124.067972
41.243472,-124.106250
37.831639,-122.297944
33.752889,-118.269194
29.561917,-115.385028
26.737389,-113.624028
31.003000,-113.107056
26.744889,-109.792639
25.556222,-109.030861
49.219556,-65.026750
51.178694,-58.543361
59.042889,-65.582333
59.481222,6.158278
59.842472,10.647528
58.357056,11.429806
58.832500,17.482389
59.840417,23.218278
56.985778,21.350778
55.655833,21.130889
54.685444,18.726667
54.095417,12.109972
57.137861,9.173333
55.035806,8.632417
