Airline ID,Departure,Destination,distance_km,distance_mi
2N,TKU,MHQ,137.3,85.3
2N,TRF,ARN,436.2,271.0
2N,VBY,ARN,222.6,138.3
2N,VHM,ARN,550.8,342.2
2N,VHM,HMV,159.0,98.8
2N,VXO,ARN,355.5,220.9
2N,VXO,OSL,414.1,257.3
2O,ADQ,AOS,,
2O,ADQ,KKB,,
2O,ADQ,KLN,91.5,56.8
2O,ADQ,KOZ,,
2O,ADQ,OLH,,
2O,AOS,KZB,,
2O,KKB,SYB,,
2O,KLN,KYK,28.4,17.6
2O,KOZ,ORI,,
2O,SYB,KPR,,
2P,BSO,MNL,668.6,415.4
2P,BXU,MNL,785.7,488.2
2P,CBO,MNL,887.7,551.6
2P,CGY,MNL,754.9,469.1
2P,CRM,MNL,450.1,279.7
2P,DGT,MNL,626.6,389.3
2P,DWC,MNL,6929.1,4305.5
2P,GES,MNL,1039.9,646.2
2P,KLO,MNL,347.2,215.7
2P,LGP,MNL,329.4,204.7
2P,MNL,BSO,668.6,415.4
2P,MNL,BXU,785.7,488.2
2P,MNL,CBO,887.7,551.6
2P,MNL,CGY,754.9,469.1
2P,MNL,CRM,450.1,279.7
2P,MNL,DGT,626.6,389.3
2P,MNL,DWC,6929.1,4305.5
2P,MNL,GES,1039.9,646.2
2P,MNL,KLO,347.2,215.7
2P,MNL,LGP,329.4,204.7
2P,MNL,MPH,304.6,189.3
2P,MNL,OZC,768.1,477.3
2P,MNL,PPS,584.2,363.0
2P,MNL,RXS,374.1,232.5
2P,MNL,SUG,717.2,445.6
2P,MNL,TUG,356.8,221.7
2P,MNL,ZAM,851.2,528.9
2P,MPH,MNL,304.6,189.3
2P,OZC,MNL,768.1,477.3
2P,PPS,MNL,584.2,363.0
2P,RXS,MNL,374.1,232.5
2P,SUG,MNL,717.2,445.6
2P,TUG,MNL,356.8,221.7
2P,ZAM,MNL,851.2,528.9
2Z,AUX,PMW,340.9,211.8
2Z,BRA,BSB,525.6,326.6
2Z,BRA,SSA,731.7,454.7
2Z,BSB,BRA,525.6,326.6
2Z,BSB,OPS,938.4,583.1
2Z,BSB,RAO,585.9,364.1
2Z,CAC,GRU,733.5,455.8
2Z,CGB,GYN,744.5,462.6
2Z,CGB,OPS,422.9,262.8
2Z,CGR,DOU,194.5,120.9
2Z,DOU,CGR,194.5,120.9
2Z,DOU,GRU,877.1,545.0
2Z,GIG,RAO,502.4,312.2
2Z,GRU,CAC,733.5,455.8
2Z,GRU,DOU,877.1,545.0
2Z,GRU,RAO,288.7,179.4
2Z,GRU,UBA,436.4,271.2
2Z,GRU,UDI,537.8,334.1
2Z,GRU,VDC,1120.3,696.1
2Z,GYN,CGB,744.5,462.6
2Z,GYN,PMW,711.2,441.9
2Z,GYN,RAO,523.4,325.2
2Z,GYN,UDI,271.7,168.8
2Z,OPS,BSB,938.4,583.1
2Z,OPS,CGB,422.9,262.8
2Z,PLU,RAO,423.3,263.1
2Z,PMW,AUX,340.9,211.8
2Z,PMW,GYN,711.2,441.9
2Z,RAO,BSB,585.9,364.1
2Z,RAO,GIG,502.4,312.2
2Z,RAO,GRU,288.7,179.4
2Z,RAO,GYN,523.4,325.2
2Z,RAO,PLU,423.3,263.1
2Z,RAO,SJP,172.9,107.4
2Z,RAO,UDI,254.8,158.4
2Z,SJP,RAO,172.9,107.4
2Z,SSA,BRA,731.7,454.7
2Z,SSA,VDC,349.9,217.4
2Z,UBA,GRU,436.4,271.2
2Z,UBA,UDI,101.7,63.2
2Z,UDI,GRU,537.8,334.1
2Z,UDI,GYN,271.7,168.8
2Z,UDI,RAO,254.8,158.4
2Z,UDI,UBA,101.7,63.2
2Z,VDC,GRU,1120.3,696.1
2Z,VDC,SSA,349.9,217.4
3E,BRL,ORD,299.8,186.3
3E,BRL,STL,235.3,146.2
3E,DEC,ORD,251.7,156.4
3E,DEC,STL,177.0,110.0
3E,JBR,STL,325.3,202.1
3E,ORD,BRL,299.8,186.3
3E,ORD,DEC,251.7,156.4
3E,STL,BRL,235.3,146.2
3E,STL,DEC,177.0,110.0
3E,STL,JBR,325.3,202.1
3F,CGA,HYL,,
3F,CGA,KTN,,
3F,HYL,CGA,,
3F,HYL,KTB,,
3F,HYL,KTN,,
3F,KTB,HYL,,
3F,KTB,KTN,,
3F,KTN,CGA,,
3F,KTN,HYL,,
3F,KTN,KTB,,
3F,KTN,MTM,26.4,16.4
3F,MTM,KTN,26.4,16.4
3G,ACC,DKR,2148.8,1335.2
3G,ACC,LOS,400.5,248.9
3G,ACC,ROB,1129.8,702.0
3G,BCN,BJL,3599.9,2236.9
3G,BJL,BCN,3599.9,2236.9
3G,BJL,DKR,180.2,112.0
3G,BJL,FNA,646.5,401.7
3G,CKY,OXB,340.8,211.8
3G,DKR,ACC,2148.8,1335.2
3G,DKR,BJL,180.2,112.0
3G,DKR,DLA,3209.8,1994.5
3G,DKR,FNA,825.9,513.2
3G,DKR,LOS,2446.2,1520.0
3G,DKR,OXB,373.6,232.1
3G,DLA,DKR,3209.8,1994.5
3G,DLA,LOS,763.9,474.7
3G,FNA,BJL,646.5,401.7
3G,FNA,DKR,825.9,513.2
3G,FNA,LGW,4877.4,3030.7
3G,FNA,ROB,409.6,254.5
3G,LGW,FNA,4877.4,3030.7
3G,LOS,ACC,400.5,248.9
3G,LOS,DKR,2446.2,1520.0
3G,LOS,DLA,763.9,474.7
3G,LOS,ROB,1512.5,939.8
3G,OXB,CKY,340.8,211.8
3G,OXB,DKR,373.6,232.1
3G,ROB,ACC,1129.8,702.0
3G,ROB,FNA,409.6,254.5
3G,ROB,LOS,1512.5,939.8
3H,AKV,YIK,178.2,110.7
3H,AKV,YPX,97.6,60.7
3H,XGR,YVP,157.4,97.8
3H,YGL,YGW,184.2,114.5
3H,YGL,YPX,714.9,444.2
3H,YGL,YUL,950.4,590.5
3H,YGW,YGL,184.2,114.5
3H,YGW,YPH,355.2,220.7
3H,YGW,YSK,167.4,104.0
3H,YGW,YUD,159.6,99.2
3H,YGW,YUL,1127.2,700.4
3H,YGW,YUY,790.2,491.0
3H,YIK,AKV,178.2,110.7
3H,YIK,YZG,119.7,74.4
3H,YKG,YPJ,84.3,52.4
3H,YKG,YQC,115.2,71.6
3H,YKG,YVP,232.8,144.6
3H,YKL,YQB,947.2,588.5
3H,YKL,YVP,379.2,235.6
3H,YKL,YWK,209.5,130.2
3H,YKL,YZV,510.8,317.4
3H,YPH,YPX,181.2,112.6
3H,YPH,YUD,234.5,145.7
3H,YPH,YVP,565.2,351.2
3H,YPJ,YKG,84.3,52.4
3H,YPJ,YTQ,72.8,45.3
3H,YPJ,YVP,149.7,93.0
3H,YPX,AKV,97.6,60.7
3H,YPX,YGL,714.9,444.2
3H,YPX,YPH,181.2,112.6
3H,YPX,YVP,550.4,342.0
3H,YQB,YKL,947.2,588.5
3H,YQB,YUL,233.0,144.8
3H,YQC,YKG,115.2,71.6
3H,YQC,YWB,137.3,85.3
3H,YSK,YGW,167.4,104.0
3H,YSK,YUD,167.3,103.9
