name,lat,lon,country_code,feature_code
Vancouver Beach,-35.049170,117.917220,AU,BCH
Emu Point Beach,-34.997730,117.947240,AU,BCH
Ben Dearg Beach,-35.006570,118.053500,AU,BCH
Picnic Beach,-34.712430,135.940080,AU,BCH
Squeaky Beach,-34.679040,135.918090,AU,BCH
Yarrabah Beach,-16.906520,145.871660,AU,BCH
Williamsons Beach,-20.984550,149.101360,AU,BCH
Whiting Beach,-35.181800,150.684600,AU,BCH
Werri Beach,-34.732820,150.835910,AU,BCH
Warrain Beach,-34.981800,150.784610,AU,BCH
Wanderrebah Beach,-32.683330,152.183330,AU,BCH
Tuggerah Beach,-33.315200,151.534610,AU,BCH
Town Beach,-21.150000,149.200000,AU,BCH
Three Mile Beach,-38.872080,146.469860,AU,BCH
Ten Mile Beach,-20.700110,148.731080,AU,BCH
Target Beach,-35.071980,150.782440,AU,BCH
Tallow Beach,-28.681800,153.617910,AU,BCH
Steamer Beach,-35.183330,150.733330,AU,BCH
South Beach,-28.883330,153.583330,AU,BCH
Smalleys Beach,-20.912880,149.014150,AU,BCH
Sloping Main,-42.980000,147.679990,AU,BCH
Shelly Beach,-31.448500,152.934600,AU,BCH
Shelly Beach,-26.797570,153.148830,AU,BCH
Seventy-Five Mile Beach,-25.500000,153.150000,AU,BCH
Seven Mile Beach,-42.840000,147.550000,AU,BCH
Seven Mile Beach,-40.800000,145.166670,AU,BCH
Seven Mile Beach,-34.815880,150.762930,AU,BCH
Seven Mile Beach,-28.748500,153.601200,AU,BCH
Sandys Beach,-30.150000,153.200000,AU,BCH
Salmon Beach,-31.557550,159.076130,AU,BCH
Saint Helens Beach,-20.833330,148.850000,AU,BCH
Rocky Beach,-31.431800,152.917890,AU,BCH
Robins Beach,-28.948500,153.517900,AU,BCH
Robertsons Beach,-38.659310,146.729860,AU,BCH
Roaring Beach,-42.883330,147.666670,AU,BCH
Resolute Beach,-33.585130,151.325040,AU,BCH
Quarry Beach,-33.123500,151.645710,AU,BCH
Putty Beach,-33.531800,151.367910,AU,BCH
Pipeclay Beach,-30.033330,153.200000,AU,BCH
Perkins Beach,-34.515200,150.884600,AU,BCH
Pearl Beach,-33.056800,151.580400,AU,BCH
Palm Beach,-33.596960,151.325040,AU,BCH
Oxley Beach,-31.433330,152.916670,AU,BCH
One Mile Beach,-32.781800,152.117910,AU,BCH
Ocean View Beach,-30.048500,153.201200,AU,BCH
Ocean Beach,-42.171050,145.258050,AU,BCH
Nudgee Beach,-27.344170,153.102780,AU,BCH
North Beach,-30.465200,153.051190,AU,BCH
Nobbys Beach,-31.448500,152.934600,AU,BCH
Ninety Mile Beach,-38.216670,147.383330,AU,BCH
Nine Mile Beach,-33.043000,151.679000,AU,BCH
Nine Mile Beach,-32.115200,152.501200,AU,BCH
New Brighton Beach,-28.483330,153.550000,AU,BCH
Neils Beach,-21.000550,149.112230,AU,BCH
Neal’s Beach,-31.516670,159.066670,AU,BCH
Murrays Beach,-35.116670,150.766670,AU,BCH
Morgans Beach,-38.865420,145.912080,AU,BCH
