NAME,DISCIPLINE,DISCIPLINE_LABEL,CITY,STATE,LAT,LNG
TILLMAN COUNTY HISTORICAL AND EDUCATIONAL SOCIETY,HSC,Historical Society or Historic Preservation,,,34.39215,-99.01305
TILLMAN MASSIE MEDIATOR,GMU,General Museum,,,32.74869,-97.33628
TILYOU INTERNATIONAL ARTWORKS,GMU,General Museum,,,33.65967,-117.90558
TIMBER HERITAGE ASSOCIATION,GMU,General Museum,,,40.79418,-124.16867
TIMBER MUSEUM OF THE PINE BELT,GMU,General Museum,,,31.69308,-89.13101
TIMBERLAKE ROSE ROCK MUSEUM,GMU,General Museum,,,35.12183,-97.38962
TIMBERLANE FARM MUSEUM,HST,History Museum,,,40.39267,-105.04561
TIMBERLINE,HSC,Historical Society or Historic Preservation,,,45.4715,-122.67633
TIME TAPESTRIES,GMU,General Museum,,,47.83821,-121.98021
TIMELESS WINGS & WHEELS,GMU,General Museum,,,28.96585,-80.89682
TIMES SQUARE ART GALLERY,ART,Art Museum,,,40.7579,-73.98757
TIMMONS PLANETARIUM,SCI,Science & Technology Museum or Planetarium,,,34.92933,-82.43314
TIMPANOGOS CAVE NATIONAL MONUMENT,HSC,Historical Society or Historic Preservation,,,40.41776,-111.79541
TIMUCUAN ECOLOGICAL & HISTORIC PRESERVE,HSC,Historical Society or Historic Preservation,,,30.37294,-81.48736
TINKER A F B HERITAGE FOUNDATION,HSC,Historical Society or Historic Preservation,,,35.42436,-97.37529
TINKER HOMSTEAD AND FARM MUSEUM,GMU,General Museum,,,43.06887,-77.57478
TINKER NATURE PARK,BOT,"Arboretum, Botanical Garden, or Nature Center",,,43.04855,-77.61655
TINKER SWISS COTTAGE,HST,History Museum,,,42.26319,-89.10056
TINMOUTH HISTORICAL AND GENEOLOGY SOCIETY,HSC,Historical Society or Historic Preservation,,,43.48778,-73.01755
TINNIN FINE ARTS CENTER,ART,Art Museum,,,36.77651,-90.43185
TINSLEY JIM BOB MUSEUM RESOURCE CENTER,GMU,General Museum,,,35.21446,-82.72744
TIOGA COUNTY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,42.10028,-76.26471
TIOGA COUNTY SPORTS HALL OF FAME AND MUSEUM,GMU,General Museum,,,41.73733,-77.30107
TIOGA HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,31.39442,-92.43481
TIOGA HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,48.38826,-102.9389
TIOGA POINT MUSEUM,HST,History Museum,,,41.93018,-76.57009
TIPPAH COUNTY HISTORICAL MUSEUM,HST,History Museum,,,34.73101,-88.94737
TIPPECANOE COUNTY HISTORICAL ASSOCIATION,HSC,Historical Society or Historic Preservation,,,40.41724,-86.8858
TIPPECANOE STEAM & GAS POWER ASSOCIATION,HSC,Historical Society or Historic Preservation,,,40.53656,-86.8263
TIPTON COUNTY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,40.27731,-86.04548
TIPTON HERITAGE ASSOCIATION,HST,History Museum,,,39.34562,-98.46887
TIPTON'S COINS CARDS & JEWELRY,GMU,General Museum,,,44.94205,-123.0379
TIRED IRON OF THE OZARKS,HST,History Museum,,,36.23642,-94.51751
TISHOMINGO COUNTY ARCHIVES,GMU,General Museum,,,34.80895,-88.18918
