NAME,DISCIPLINE,DISCIPLINE_LABEL,CITY,STATE,LAT,LNG
TRI-COUNTY HISTORICAL MUSEUM,HSC,Historical Society or Historic Preservation,,,41.72153,-83.82063
TRI-COUNTY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,42.29288,-91.00323
TRI-STATE COALITION OF HISTORIC PLACES,HSC,Historical Society or Historic Preservation,,,40.09788,-74.84993
TRI-STATE GENEALOGICAL HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,40.61733,-80.60843
TRI-STATE MODEL RAILROADERS,HSC,Historical Society or Historic Preservation,,,33.63373,-84.83722
TRI-STATE OLD IRON ASSOCIATION,HSC,Historical Society or Historic Preservation,,,42.88136,-97.41523
TRI-STATE RAILWAY HISTORICAL SOCIETY,HSC,Historical Society or Historic Preservation,,,40.76896,-74.40821
TRI-STATE WARBIRD MUSEUM,HSC,Historical Society or Historic Preservation,,,39.08059,-84.21441
TRI-STATES RAILWAY PRESERVATION SOCIETY,HSC,Historical Society or Historic Preservation,,,41.37564,-74.66573
TRIAD ARTS GROUP,ART,Art Museum,,,42.10625,-87.93934
