"REF_DATE","GEO","DGUID","Airports","Domestic and international itinerant movements","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","New Brunswick","2016A000213","Total, all airports","Transborder movements","Number","223","units","0","v1376030771","1013.100001.2","44","","","","0"
"2022-01","New Brunswick","2016A000213","Total, all airports","Other international movements","Number","223","units","0","v1376030772","1013.100001.3","3","","","","0"
"2022-01","New Brunswick","2016A000213","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030773","1013.100002.1","5380","","","","0"
"2022-01","New Brunswick","2016A000213","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030774","1013.100002.2","44","","","","0"
"2022-01","New Brunswick","2016A000213","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030775","1013.100002.3","3","","","","0"
"2022-01","New Brunswick","2016A000213","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030776","1013.100003.1","","..","","","0"
"2022-01","New Brunswick","2016A000213","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030777","1013.100003.2","","..","","","0"
"2022-01","New Brunswick","2016A000213","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030778","1013.100003.3","","..","","","0"
"2022-01","Quebec","2016A000224","Total, all airports","Domestic movements","Number","223","units","0","v1376030779","1024.100001.1","21853","","","","0"
"2022-01","Quebec","2016A000224","Total, all airports","Transborder movements","Number","223","units","0","v1376030780","1024.100001.2","3281","","","","0"
"2022-01","Quebec","2016A000224","Total, all airports","Other international movements","Number","223","units","0","v1376030781","1024.100001.3","2485","","","","0"
"2022-01","Quebec","2016A000224","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030782","1024.100002.1","19677","","","","0"
"2022-01","Quebec","2016A000224","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030783","1024.100002.2","3281","","","","0"
"2022-01","Quebec","2016A000224","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030784","1024.100002.3","2485","","","","0"
"2022-01","Quebec","2016A000224","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030785","1024.100003.1","2176","","","","0"
"2022-01","Quebec","2016A000224","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030786","1024.100003.2","","..","","","0"
"2022-01","Quebec","2016A000224","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030787","1024.100003.3","","..","","","0"
"2022-01","Ontario","2016A000235","Total, all airports","Domestic movements","Number","223","units","0","v1376030788","1035.100001.1","42438","","","","0"
"2022-01","Ontario","2016A000235","Total, all airports","Transborder movements","Number","223","units","0","v1376030789","1035.100001.2","8863","","","","0"
"2022-01","Ontario","2016A000235","Total, all airports","Other international movements","Number","223","units","0","v1376030790","1035.100001.3","5490","","","","0"
"2022-01","Ontario","2016A000235","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030791","1035.100002.1","38057","","","","0"
"2022-01","Ontario","2016A000235","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030792","1035.100002.2","8861","","","","0"
"2022-01","Ontario","2016A000235","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030793","1035.100002.3","5490","","","","0"
"2022-01","Ontario","2016A000235","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030794","1035.100003.1","4381","","","","0"
"2022-01","Ontario","2016A000235","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030795","1035.100003.2","2","","","","0"
"2022-01","Ontario","2016A000235","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030796","1035.100003.3","","..","","","0"
"2022-01","Manitoba","2016A000246","Total, all airports","Domestic movements","Number","223","units","0","v1376030797","1046.100001.1","13760","","","","0"
"2022-01","Manitoba","2016A000246","Total, all airports","Transborder movements","Number","223","units","0","v1376030798","1046.100001.2","416","","","","0"
"2022-01","Manitoba","2016A000246","Total, all airports","Other international movements","Number","223","units","0","v1376030799","1046.100001.3","107","","","","0"
"2022-01","Manitoba","2016A000246","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030800","1046.100002.1","10959","","","","0"
"2022-01","Manitoba","2016A000246","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030801","1046.100002.2","411","","","","0"
"2022-01","Manitoba","2016A000246","Total, NAV CANADA towers and flight service stations","Other international movements","Number","223","units","0","v1376030802","1046.100002.3","107","","","","0"
"2022-01","Manitoba","2016A000246","Total, non-NAV CANADA airports","Domestic movements","Number","223","units","0","v1376030803","1046.100003.1","2801","","","","0"
"2022-01","Manitoba","2016A000246","Total, non-NAV CANADA airports","Transborder movements","Number","223","units","0","v1376030804","1046.100003.2","5","","","","0"
"2022-01","Manitoba","2016A000246","Total, non-NAV CANADA airports","Other international movements","Number","223","units","0","v1376030805","1046.100003.3","","..","","","0"
"2022-01","Saskatchewan","2016A000247","Total, all airports","Domestic movements","Number","223","units","0","v1376030806","1047.100001.1","6804","","","","0"
"2022-01","Saskatchewan","2016A000247","Total, all airports","Transborder movements","Number","223","units","0","v1376030807","1047.100001.2","107","","","","0"
"2022-01","Saskatchewan","2016A000247","Total, all airports","Other international movements","Number","223","units","0","v1376030808","1047.100001.3","110","","","","0"
"2022-01","Saskatchewan","2016A000247","Total, NAV CANADA towers and flight service stations","Domestic movements","Number","223","units","0","v1376030809","1047.100002.1","6190","","","","0"
"2022-01","Saskatchewan","2016A000247","Total, NAV CANADA towers and flight service stations","Transborder movements","Number","223","units","0","v1376030810","1047.100002.2","106","","","","0"
